batch_size,index,action_step,kernel_union_ms,activity_union_ms,copy_union_ms,kernel_count
2,2,0,4.766375,5.432297,0.665922,590
2,2,1,4.748133,5.415976,0.667843,590
2,2,2,4.730791,5.396648,0.665857,590
2,2,3,4.729864,5.393994,0.66413,590
2,2,4,4.733993,5.398506,0.664513,590
2,2,5,4.625448,5.287593,0.662145,590
2,2,6,4.590568,5.24932,0.658752,590
2,2,7,4.591755,5.253227,0.661472,590
2,2,8,4.591562,5.252394,0.660832,590
2,2,9,4.520296,5.179978,0.659682,590
2,3,0,4.781995,5.447787,0.665792,590
2,3,1,4.78039,5.448392,0.668002,590
2,3,2,4.778026,5.444682,0.666656,590
2,3,3,4.716325,5.381607,0.665282,590
2,3,4,4.653513,5.313227,0.659714,590
2,3,5,4.656457,5.318953,0.662496,590
2,3,6,4.655303,5.315817,0.660514,590
2,3,7,4.573672,5.232137,0.658465,590
2,3,8,4.545097,5.202474,0.657377,590
2,3,9,4.551913,5.212009,0.660096,590
2,4,0,4.749737,5.415242,0.665505,590
2,4,1,4.742631,5.410346,0.667715,590
2,4,2,4.729319,5.39636,0.667041,590
2,4,3,4.723974,5.39015,0.666176,590
2,4,4,4.726217,5.389867,0.66365,590
2,4,5,4.644327,5.305705,0.661378,590
2,4,6,4.580423,5.239657,0.659234,590
2,4,7,4.578922,5.241034,0.662112,590
2,4,8,4.576073,5.236425,0.660352,590
2,4,9,4.51444,5.17313,0.65869,590
2,5,0,4.783913,5.451113,0.6672,590
2,5,1,4.780903,5.448426,0.667523,590
2,5,2,4.78113,5.448042,0.666912,590
2,5,3,4.739944,5.407241,0.667297,590
2,5,4,4.658408,5.320938,0.66253,590
2,5,5,4.653897,5.317674,0.663777,590
2,5,6,4.654633,5.316298,0.661665,590
2,5,7,4.553929,5.21489,0.660961,590
2,5,8,4.550056,5.207946,0.65789,590
2,5,9,4.549193,5.209609,0.660416,590
2,6,0,4.76724,5.433481,0.666241,590
2,6,1,4.764134,5.432136,0.668002,590
2,6,2,4.721288,5.387337,0.666049,590
2,6,3,4.724296,5.390056,0.66576,590
2,6,4,4.730407,5.395369,0.664962,590
2,6,5,4.62532,5.287146,0.661826,590
2,6,6,4.581514,5.24129,0.659776,590
2,6,7,4.58372,5.245641,0.661921,590
2,6,8,4.581158,5.240361,0.659203,590
2,6,9,4.540904,5.197993,0.657089,590
2,7,0,4.785032,5.450761,0.665729,590
2,7,1,4.777288,5.446792,0.669504,590
2,7,2,4.76103,5.426377,0.665347,590
2,7,3,4.699337,5.366058,0.666721,590
2,7,4,4.700967,5.362793,0.661826,590
2,7,5,4.700615,5.365896,0.665281,590
2,7,6,4.609034,5.270283,0.661249,590
2,7,7,4.574186,5.234154,0.659968,590
2,7,8,4.57508,5.235274,0.660194,590
2,7,9,4.565097,5.225001,0.659904,590
2,8,0,4.775046,5.439015,0.663969,590
2,8,1,4.777514,5.445002,0.667488,590
2,8,2,4.77175,5.436391,0.664641,590
2,8,3,4.760905,5.427626,0.666721,590
2,8,4,4.650087,5.311944,0.661857,590
2,8,5,4.648456,5.310794,0.662338,590
2,8,6,4.651433,5.310539,0.659106,590
2,8,7,4.596328,5.258472,0.662144,590
2,8,8,4.546953,5.202794,0.655841,590
2,8,9,4.544712,5.202538,0.657826,590
2,9,0,4.785513,5.451755,0.666242,590
2,9,1,4.778281,5.446218,0.667937,590
2,9,2,4.726631,5.391592,0.664961,590
2,9,3,4.720647,5.387017,0.66637,590
2,9,4,4.72244,5.386281,0.663841,590
2,9,5,4.671718,5.33604,0.664322,590
2,9,6,4.591496,5.251211,0.659715,590
2,9,7,4.589929,5.249674,0.659745,590
2,9,8,4.594921,5.255049,0.660128,590
2,9,9,4.538055,5.196137,0.658082,590
3,0,0,4.711272,5.382409,0.671137,590
3,0,1,4.702696,5.375337,0.672641,590
3,0,2,4.702506,5.37377,0.671264,590
3,0,3,4.655241,5.322954,0.667713,590
3,0,4,4.609865,5.276139,0.666274,590
3,0,5,4.607432,5.27457,0.667138,590
3,0,6,4.608713,5.276713,0.668,590
3,0,7,4.520584,5.186314,0.66573,590
3,0,8,4.511529,5.173418,0.661889,590
3,0,9,4.503561,5.168394,0.664833,590
3,1,0,4.691945,5.363946,0.672001,590
3,1,1,4.687273,5.357578,0.670305,590
3,1,2,4.68708,5.358922,0.671842,590
3,1,3,4.63812,5.306057,0.667937,590
3,1,4,4.594505,5.264297,0.669792,590
3,1,5,4.5946,5.261418,0.666818,590
3,1,6,4.594505,5.26177,0.667265,590
3,1,7,4.509096,5.169801,0.660705,590
3,1,8,4.497064,5.161289,0.664225,590
3,1,9,4.501479,5.162793,0.661314,590
3,2,0,4.700521,5.371722,0.671201,590
3,2,1,4.691463,5.363625,0.672162,590
3,2,2,4.696137,5.367625,0.671488,590
3,2,3,4.641225,5.310634,0.669409,590
3,2,4,4.601383,5.268426,0.667043,590
3,2,5,4.601863,5.271113,0.66925,590
3,2,6,4.602696,5.270218,0.667522,590
3,2,7,4.553096,5.21985,0.666754,590
3,2,8,4.50564,5.169353,0.663713,590
3,2,9,4.50692,5.169737,0.662817,590
3,3,0,4.696682,5.371146,0.674464,590
3,3,1,4.695337,5.365674,0.670337,590
3,3,2,4.699464,5.37121,0.671746,590
3,3,3,4.642153,5.310345,0.668192,590
3,3,4,4.603558,5.271817,0.668259,590
3,3,5,4.608839,5.274344,0.665505,590
3,3,6,4.602024,5.270634,0.66861,590
3,3,7,4.507464,5.16769,0.660226,590
3,3,8,4.503879,5.166728,0.662849,590
3,3,9,4.509289,5.171114,0.661825,590
3,4,0,4.686983,5.356681,0.669698,590
3,4,1,4.682664,5.352425,0.669761,590
3,4,2,4.671048,5.341033,0.669985,590
3,4,3,4.631113,5.300041,0.668928,590
3,4,4,4.633832,5.3034,0.669568,590
3,4,5,4.624586,5.293098,0.668512,590
3,4,6,4.516615,5.179336,0.662721,590
3,4,7,4.521991,5.185256,0.663265,590
3,4,8,4.525736,5.187882,0.662146,590
3,4,9,4.499015,5.160937,0.661922,590
3,5,0,4.699722,5.372682,0.67296,590
3,5,1,4.6978,5.368842,0.671042,590
3,5,2,4.659178,5.329802,0.670624,590
3,5,3,4.664072,5.332586,0.668514,590
