phase,batch_size,index,start,end,pid,full_ms,kernel_union_ms,kernel_sum_ms,activity_union_ms,no_recorded_cuda_ms,kernel_count,streams,vlm_embed_kernel_ms,vlm_embed_activity_ms,vlm_embed_copy_ms,vlm_prefill_kernel_ms,vlm_prefill_activity_ms,vlm_prefill_copy_ms,action_kernel_ms,action_activity_ms,action_copy_ms,vlm_mixed_kernel_ms,vlm_mixed_activity_ms,vlm_mixed_copy_ms,mixed_kernel_ms,mixed_activity_ms,mixed_copy_ms,unattributed_kernel_ms,unattributed_activity_ms,unattributed_copy_ms,copy_union_ms,copy_bytes,h2d_copy_ms,h2d_bytes,d2h_copy_ms,d2h_bytes,d2d_copy_ms,d2d_bytes,cross_stage_overlap_ms,host_sync_union_ms,action_loop_body_count
after_traced,5,4,18582581318,18955425731,344233475047424,372.844413,329.649127,329.869959,346.801439,26.04297399999996,8474,5,52.812851,58.574971,5.76212,226.786172,230.986338,4.18039,49.990872,56.99005,6.999178,0.0,0.0,0.0,0.0,0.011808,0.011808,0.059232,0.238272,0.17904,17.132536,5674795682,0.168512,2263615,0.016,13451,16.948024,5672518616,-5.684341886080802e-14,318.208014,10
after_traced,5,5,18955931249,19325717639,344233475047424,369.78639,327.9811,328.205868,345.217151,24.569238999999982,8474,5,52.351254,58.116568,5.765314,225.574907,229.774465,4.179878,49.996315,56.992742,6.996427,0.0,0.0,0.0,0.0,0.012032,0.012032,0.058624,0.321344,0.26272,17.216371,5674795682,0.252384,2263615,0.016064,13451,16.947923,5672518616,0.0,316.806568,10
after_traced,5,6,19326208952,19700516044,344233475047424,374.307092,327.802925,328.025934,345.015387,29.291705000000036,8474,5,52.675252,58.447642,5.77239,225.23094,229.433215,4.182179,49.838813,56.83997,7.001157,0.0,0.0,0.0,0.0,0.012192,0.012192,0.05792,0.282368,0.224448,17.192366,5674795682,0.214144,2263615,0.01616,13451,16.962062,5672518616,5.684341886080802e-14,312.099497,10
after_traced,5,7,19701056200,20079001990,344233475047424,377.94579,328.629453,328.84926199999995,345.798008,32.14778200000001,8474,5,52.915155,58.684952,5.769797,225.705593,229.906011,4.180034,49.949761,56.951332,7.001571,0.0,0.0,0.0,0.0,0.011744,0.011744,0.058944,0.243969,0.185025,17.148171,5674795682,0.174721,2263615,0.015712,13451,16.957738,5672518616,0.0,316.195876,10
after_traced,5,8,20079586629,20453083657,344233475047424,373.497028,329.016596,329.23269200000004,346.189893,27.307135000000017,8474,5,53.103889,58.873877,5.769988,225.75793,229.961998,4.184132,50.096761,57.103682,7.006921,0.0,0.0,0.0,0.0,0.011808,0.011808,0.058016,0.238528,0.180512,17.153361,5674795682,0.169792,2263615,0.016128,13451,16.967441,5672518616,-5.684341886080802e-14,317.452368,10
after_traced,5,9,20453610568,20823708667,344233475047424,370.098099,327.840618,328.058634,344.99625,25.101849000000016,8474,5,52.491534,58.256565,5.765031,225.250828,229.450959,4.179875,50.038672,57.038326,6.999654,0.0,0.0,0.0,0.0,0.011904,0.011904,0.059584,0.238496,0.178912,17.135376,5674795682,0.168544,2263615,0.015936,13451,16.950896,5672518616,5.684341886080802e-14,316.579407,10
after_traced,4,0,20824219943,21137504843,344233475047424,313.2849,271.625336,271.862808,288.822086,24.46281399999998,8312,5,37.925569,43.800998,5.804005,183.649547,187.854829,4.184994,50.005356,56.883539,6.878183,0.0,0.0,0.0,0.0,0.012032,0.012032,0.044864,0.270688,0.225824,17.105038,5674340279,0.215328,1810900,0.015968,10763,16.873742,5672518616,-5.684341886080802e-14,263.800066,10
after_traced,4,1,21137960396,21454688402,344233475047424,316.728006,272.183074,272.42333,289.391883,27.336122999999986,8312,5,37.917478,43.791688,5.80109,184.174473,188.383342,4.189285,50.046003,56.932117,6.886114,0.0,0.0,0.0,0.0,0.012192,0.012192,0.04512,0.272544,0.227424,17.116105,5674340279,0.217056,1810900,0.016128,10763,16.882921,5672518616,0.0,260.458344,10
after_traced,4,2,21455160432,21769444292,344233475047424,314.28386,271.313145,271.555065,288.522217,25.761642999999992,8312,5,37.428676,43.298247,5.798019,183.770568,187.975468,4.18474,50.069357,56.962485,6.893128,0.0,0.0,0.0,0.0,0.011841,0.011841,0.044544,0.274176,0.229632,17.11736,5674340279,0.219296,1810900,0.015777,10763,16.882287,5672518616,0.0,262.251057,10
after_traced,4,3,21769899207,22083232143,344233475047424,313.332936,271.398193,271.635761,288.590496,24.742440000000045,8312,5,37.812447,43.682501,5.799398,183.339752,187.539373,4.180581,50.20065,57.092014,6.891364,0.0,0.0,0.0,0.0,0.012288,0.012288,0.045344,0.26432,0.218976,17.102607,5674340279,0.208224,1810900,0.016544,10763,16.877839,5672518616,5.684341886080802e-14,263.478123,10
