batch_size,duration_ms,prepare_inputs_ms,sample_dispatch_ms,materialize_ms,output_transform_ms,outside_ranges_ms,sample_and_materialize_ms,calls
1,135.71692185,16.40118722,118.66238677,0.47108865,0.08322436,0.09903485000000217,119.13347542,100
2,205.29488947000002,16.704451340000002,187.86028813000001,0.50875432,0.11527179,0.1061238900000032,188.36904245000002,100
3,257.67447057000004,17.20698441,239.75229055,0.45727721000000005,0.14742882999999998,0.11048957000000087,240.20956776,100
4,308.38733677,17.95408405,289.67328347,0.46382814000000006,0.17881144,0.11732967000000713,290.13711161,100
5,365.94621301,18.816646900000002,346.24730485,0.54202192,0.21186181999999998,0.1283775200000025,346.78932677,100
