batch_size,calls,blocks,mean_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms,ms_per_request,timed_service_requests_per_s,throughput_speedup_vs_b1,observed_block_requests_per_s,block_mean_std_ms,gpu_samples,gpu_util_mean_percent,gpu_util_p95_percent,power_mean_w,power_max_w,sampled_memory_peak_mib,temperature_mean_c,temperature_max_c,sm_clock_mean_mhz,sm_clock_min_mhz,sm_clock_max_mhz,sw_thermal_samples,hw_thermal_samples
1,1000,5,135.504780493,135.032734,138.37672755,138.93014794,133.456587,141.129484,135.504780493,7.379813438033344,1.0,7.370578529089864,0.1681814124231837,126,87.57936507936508,100.0,257.65634920634926,263.8,8513.0,83.84920634920636,86.0,1721.7857142857142,1590.0,1860.0,12,0
2,1000,5,205.267383514,204.6225235,208.12558715,208.87541707,203.212606,222.366415,102.633691757,9.743389162767755,1.3202758097587197,9.73181043482632,0.2891625598798149,196,91.35204081632654,100.0,272.8120408163265,280.43,8513.0,84.4795918367347,88.0,1639.6683673469388,1485.0,1860.0,27,0
3,1000,5,257.803959499,257.060904,260.6280015,262.49324127,255.05097,275.485421,85.93465316633332,11.63674912452862,1.5768351357713606,11.622944174669012,0.22128023973424685,249,92.93574297188755,100.0,279.14096385542166,286.32,8513.0,84.76706827309236,87.0,1621.867469879518,1500.0,1860.0,31,0
4,1000,5,308.29189341,307.718705,310.9140475,312.00098758,305.556386,322.026528,77.0729733525,12.97471677168094,1.7581361481054716,12.959266193504027,0.25604498453672975,298,94.04362416107382,100.0,285.1093624161074,292.85,8513.0,85.47651006711409,87.0,1631.6275167785234,1545.0,1860.0,42,0
5,1000,5,365.62714112200007,365.27441250000004,368.200788,370.44708930999997,362.799161,383.618477,73.12542822440001,13.675133592808507,1.8530459757059672,13.6592354283246,0.19138018873656903,355,94.65915492957747,100.0,286.73985915492955,288.98,8513.0,85.81971830985916,87.0,1614.718309859155,1530.0,1860.0,49,0
