batch_size,index,stage,activity_ms,interval_count,tensor_active_pct,tensor_active_pct_alignment_delta_pp,sm_active_pct,sm_active_pct_alignment_delta_pp,sm_issue_pct,sm_issue_pct_alignment_delta_pp,compute_warps_pct,compute_warps_pct_alignment_delta_pp,dram_read_pct,dram_read_pct_alignment_delta_pp,dram_write_pct,dram_write_pct_alignment_delta_pp
1,0,vlm_embed,20.523624,1494,20.113021121415983,0.07361657960601775,72.57487347263816,0.019943505104166093,7.855644841281443,0.07260418530372537,32.861105621502325,0.07521298382781083,32.832561491089486,0.03749883548831434,24.283849090199663,0.0942270234535556
1,0,vlm_prefill,55.45277,251,53.27567410969731,0.07844554924849234,89.08125613923345,0.10209809176349438,11.835344239791809,0.014267366625688283,30.86238063490787,0.03307526386869242,37.93095724523771,0.022069195100627326,17.76308362954637,0.07171924865069812
1,0,vlm_total,75.976394,1745,44.31739397897721,0.037368764829771806,84.62236076905677,0.0715397995856506,10.76030171950514,0.030025984123437155,31.402299390518586,0.012541842930843927,36.55371950134933,0.02320766895044102,19.52454836169245,0.03332279760473966
1,0,action,41.268074,4115,2.3747905463191716,0.02271300570024204,66.36581164412955,0.8973490984822803,5.463423686794785,0.025152397468318988,33.624130411319896,0.6716032349849925,41.74734267947663,0.340203397909967,18.906566683969793,0.3984940998215727
1,1,vlm_embed,20.511272,1494,20.057252617000056,0.16333097235510508,72.56613475751284,0.04451664431148572,7.891705351086953,0.12065677838019973,32.911385212969726,0.0963466332073395,32.91859324960441,0.07389843984322653,24.337402087983623,0.13820405677424574
1,1,vlm_prefill,55.475207,248,53.354593863885896,0.054793197977616614,89.08887954217097,0.09537965311243113,11.860094888875313,0.01922109096411262,30.840813068079225,0.04600864310429387,37.92233166430546,0.016849166511448743,17.74961187616659,0.06444832193235683
1,1,vlm_total,75.986479,1742,44.36653661765273,0.026163825803799057,84.62884248130513,0.08165003934449544,10.788894876942514,0.03847616100227569,31.399729193926724,0.011516641006618755,36.57165663643923,0.02746033277841775,19.527875044716836,0.031460833972843716
1,1,action,41.284582,4115,2.3400137852915646,0.01961463482905046,66.34979627503556,0.9286501677551229,5.475995736132195,0.023604502039042075,33.62349244567863,0.6800247850396062,41.72848309327681,0.3503006037459713,18.86500020758355,0.40158778887478874
1,2,vlm_embed,20.489056,1494,20.12927008447827,0.129392881741353,72.60136923828995,0.03336512916945367,7.881811441190848,0.08012199293125111,32.93649873376304,0.0918062794108252,32.93371026952145,0.04879097406927713,24.33726131648037,0.13788951526122162
1,2,vlm_prefill,55.4354,247,53.29919850853426,0.08765159086070895,89.08432898472817,0.10422800232342411,11.864905132821265,0.016163696843532804,30.85059880509566,0.033008582963233835,37.93567395563124,0.022407270444517735,17.77435746833251,0.05834986308387613
1,2,vlm_total,75.924456,1741,44.34792566706042,0.04178358551558148,84.63621959965047,0.06709697070466802,10.790023151433578,0.030776447051525935,31.41350202100888,0.011672154753401998,36.58583861305506,0.029527205305235782,19.545429815130976,0.03339282404605015
1,2,action,41.295502,4115,2.35586788604725,0.02324090890092556,66.35322074544584,0.8866829370423943,5.473061158089324,0.025248827342019275,33.63270186181536,0.6476526184377178,41.69767460388301,0.34262980990035885,18.90477284911078,0.379584900069748
1,3,vlm_embed,20.526055,1494,20.07314888321209,0.021053777747358282,72.22922154305833,0.39800487721582556,7.844329268337242,0.12045427141260223,32.710337714675326,0.17560471313167625,32.67767629970786,0.13655629393958435,24.19589740941452,0.06301980580291655
1,3,vlm_prefill,55.379145,245,53.25564255280575,0.0893636765247976,89.06584173518749,0.08726783340551947,11.846538511925383,0.013109971271676457,30.89983501912137,0.03219861917333944,38.0076071416415,0.02932390884691216,17.798228719493594,0.07550315195368285
1,3,vlm_total,75.9052,1739,44.282532804076666,0.062104559371427115,84.51293373840001,0.15742559139559376,10.76427317232548,0.04166456316563405,31.389425691520476,0.07097806210905233,36.56630333626682,0.015532914741022807,19.528266969851867,0.07212744317912367
1,3,action,41.372527,4115,2.417094271278136,0.019433427404615955,66.27902566841034,0.9273704504440872,5.489629168650975,0.02540064811607934,33.560268701981876,0.6711979183674188,41.65778691739086,0.3402033431508755,18.84997073057684,0.39580980876512584
1,4,vlm_embed,20.430307,1494,20.004859496237625,0.0935420598427612,72.6477056854799,0.047783569772093415,7.823952914657621,0.0937199817897989,33.00914450282122,0.07436780073837923,33.035250914242255,0.054679501389770735,24.426574206643103,0.08537233434622493
1,4,vlm_prefill,55.142664,246,53.15477531154461,0.08907248296890913,89.10084599829997,0.1162664538659186,11.821499846289617,0.014099590835872533,30.966134842524113,0.034423926272403094,38.19954668856768,0.011933808638623589,17.89170359995665,0.07778686571979776
1,4,vlm_total,75.572971,1740,44.19306653962301,0.0429378911145335,84.65292363588564,0.08943074369803128,10.740807768428212,0.035114048910424245,31.518439641601493,0.02267810802356962,36.80343711774941,0.01947119427128996,19.658332739095304,0.0464874273634166
1,4,action,41.287315,4115,2.3615881778701278,0.027347527927160886,66.36303123610726,0.8757577236495138,5.4473812113962845,0.02629420198431376,33.59800827445427,0.6675842689213383,41.7431242259275,0.32123222350497116,18.90088297095609,0.3854042095011536
