batch_size,kernel_key,grid,block,static_shared,dynamic_shared,kernel_ms,sm_pct,tensor_pct,dram_pct,dram_gbps,l2_pct,l2_hit_pct,occupancy_pct,theoretical_occupancy_pct,registers_per_thread,shared_bytes_per_block,replay_passes,l2_gbps,l1_hit_pct,active_warps_per_scheduler,eligible_warps_per_scheduler,issued_warps_per_scheduler,no_eligible_pct,issue_active_pct,warp_cycles_barrier,warp_cycles_branch_resolving,warp_cycles_dispatch_stall,warp_cycles_drain,warp_cycles_imc_miss,warp_cycles_lg_throttle,warp_cycles_long_scoreboard,warp_cycles_math_pipe_throttle,warp_cycles_membar,warp_cycles_mio_throttle,warp_cycles_misc,warp_cycles_no_instruction,warp_cycles_not_selected,warp_cycles_selected,warp_cycles_short_scoreboard,warp_cycles_sleeping,warp_cycles_tex_throttle,warp_cycles_wait,stage,reference_total_ms,reference_count,samples,stage_rejected,stage_kernel_time_share_pct
5,gemm_fusion_dot_113_0,"(270, 1, 1)","(128, 1, 1)",0,49152,0.091712,69.94,69.94,41.16,299.83670621075004,68.11,90.61,14.71,16.67,255.0,50176.0,17.0,1837.2592463363603,0.0,1.77,0.21,0.17,82.57,17.43,0.69,0.02,0.04,0.07,0.11,0.18,0.49,5.28,0.0,0.23,0.0,0.02,0.23,1.0,0.04,0.0,0.0,1.81,vlm_embed,77.712192,810.0,1,,14.892053859844987
5,loop_slice_fusion,"(65536, 1, 1)","(128, 1, 1)",0,0,0.394592,5.11,0.0,92.96,677.5862460465501,31.04,50.04,88.83,100.0,16.0,1024.0,17.0,681.0245722163701,3.03,10.64,0.04,0.03,97.09,2.91,0.0,0.3,0.25,46.49,0.24,27.22,232.32,0.07,0.0,25.18,0.0,0.28,0.29,1.0,24.75,0.0,0.0,1.93,vlm_prefill,71.132224,180.0,1,,3.127832628512821
1,loop_slice_fusion,"(65536, 1, 1)","(128, 1, 1)",0,0,0.393984,5.11,0.0,93.1,678.60883690708,41.84,50.03,89.0,100.0,16.0,1024.0,17.0,682.2210038986401,3.03,10.69,0.04,0.03,97.09,2.91,0.0,0.3,0.24,43.95,0.22,22.56,244.43,0.07,0.0,24.23,0.0,0.28,0.28,1.0,24.11,0.0,0.0,1.92,vlm_prefill,71.076838,180.0,1,,13.924339682718317
5,loop_dynamic_slice_fusion_21,"(6144, 1, 1)","(128, 1, 1)",0,0,0.038239999999999996,5.43,0.0,86.89,632.800079270545,39.525000000000006,50.150000000000006,83.195,100.0,16.0,1024.0,17.0,662.8142586838701,3.02,10.105,0.04,0.03,97.16499999999999,2.835,0.0,0.35,0.18,30.83,2.99,12.899999999999999,276.025,0.33,0.0,14.594999999999999,0.0,0.59,0.475,1.0,14.655000000000001,0.0,0.0,2.225,action,62.133355,1800.0,2,,12.16432035379334
5,gemm_fusion_dot_117_0,"(64, 1, 1)","(128, 1, 1)",0,36864,0.032063999999999995,23.32,23.32,80.79,588.88223552894,28.2,30.77,8.33,16.67,166.0,37888.0,17.0,763.2065868263501,0.0,1.02,0.09,0.09,90.57,9.43,1.78,0.02,0.02,0.05,0.32,0.02,4.37,1.61,0.0,0.08,0.0,0.07,0.0,1.0,0.04,0.0,0.0,1.05,action,57.384289,1800.0,1,,11.23455951590992
5,gemm_fusion_dot_103_0,"(32, 1, 1)","(128, 1, 1)",0,36864,0.022335999999999998,16.92,16.92,66.42,483.27793696275,39.31,62.65,8.33,16.67,96.0,37888.0,17.0,1061.3710601719201,0.0,1.02,0.23,0.23,77.32,22.68,0.61,0.03,0.04,0.0,0.18,0.0,0.26,0.82,0.0,0.01,0.02,0.06,0.0,1.0,0.39,0.0,0.0,1.02,action,43.361931,1800.0,1,,8.489295642301665
1,input_reduce_fusion,"(24, 1, 1)","(1024, 1, 1)",33024,0,0.027167999999999998,7.31,0.0,73.52,535.1472320376901,17.6,2.63,66.38,66.67,60.0,34048.0,17.0,479.60424028269006,6.64,8.07,0.48,0.27,72.6,27.4,1.18,0.03,0.09,0.03,0.92,0.47,21.28,0.27,0.0,2.31,0.0,0.09,0.75,1.0,0.03,0.0,0.0,0.62,action,41.742616,1800.0,1,,12.040153165379126
5,gemm_fusion_dot_57_0,"(36, 5, 1)","(128, 1, 1)",0,36864,0.045472,47.84,47.84,24.33,177.14567206193001,67.52,92.86,16.0,16.67,168.0,37888.0,17.0,1822.8627726952802,0.0,1.93,0.18,0.17,83.32,16.68,1.4,0.02,0.02,0.08,0.23,0.03,4.47,2.59,0.0,0.1,0.01,0.04,0.1,1.0,0.3,0.0,0.0,1.18,vlm_embed,38.742484,810.0,1,,7.424255365132187
1,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_32x5_nn,"(9, 2, 5)","(128, 1, 1)",49152,32768,0.043296,39.09,39.09,46.61,339.50036954915004,36.42,74.55,8.33,8.33,222.0,82944.0,17.0,992.1212121212101,0.0,1.01,0.11,0.11,88.74,11.26,0.41,0.15,0.0,0.0,0.26,0.14,0.43,3.15,0.0,0.18,0.0,0.07,0.0,1.0,0.05,0.0,0.0,3.1,vlm_embed,34.844163,810.0,1,,23.429445902987798
1,gemm_fusion_dot_111_0,"(64, 1, 1)","(128, 1, 1)",0,32768,0.019584,15.14,10.32,73.28,532.78431372549,26.27,83.61,8.33,25.0,96.0,33792.0,17.0,712.9885620915001,0.0,1.02,0.12,0.12,87.93,12.07,1.02,0.02,0.01,0.01,0.4,0.0,3.87,0.0,0.0,0.01,0.0,0.12,0.0,1.0,0.38,0.0,0.0,1.59,action,34.437277,1800.0,1,,9.93301640890422
5,loop_convert_fusion_9,"(10760, 1, 1)","(128, 1, 1)",0,0,0.03376,34.54,0.0,85.79,624.70521327014,30.69,51.89,79.64,100.0,31.0,1024.0,17.0,681.69573459716,63.31,9.84,1.05,0.38,61.92,38.08,0.0,0.05,0.11,0.21,0.23,0.0,21.39,0.47,0.0,0.01,0.0,0.07,1.69,1.0,0.21,0.0,0.0,0.64,vlm_embed,26.851057,810.0,1,,5.145491032317912
1,loop_convert_fusion,"(30976, 1, 1)","(128, 1, 1)",0,0,0.139296,22.09,0.0,93.0,677.68527452332,44.13,33.53,89.49,100.0,35.0,1024.0,17.0,684.21663220767,27.25,10.79,0.3,0.23,77.37,22.63,0.0,0.05,0.05,0.51,0.09,0.01,44.82,0.06,0.0,0.01,0.0,0.06,0.34,1.0,0.23,0.0,0.0,0.4,vlm_prefill,24.831494,180.0,1,,4.8646249188150685
5,fusion_271,"(320, 1, 1)","(256, 1, 1)",0,0,0.030944,25.03,0.0,88.33,643.26370217166,37.35,50.51,52.6,83.33,48.0,1024.0,17.0,686.9276111685601,0.0,6.39,0.41,0.24,76.37,23.63,0.0,0.01,0.03,0.87,0.67,0.25,12.58,0.15,0.0,2.7,0.0,0.05,0.73,1.0,6.58,0.0,0.0,1.2,vlm_embed,23.260445999999998,810.0,1,,4.457419173506466
1,gemm_fusion_dot_122_0,"(54, 1, 1)","(128, 1, 1)",0,49152,0.02656,49.55,49.55,54.84,399.20481927711,47.07,75.61,8.33,16.67,255.0,50176.0,17.0,1279.3819277108403,0.0,1.0,0.16,0.16,83.77,16.23,0.09,0.02,0.01,0.08,0.18,0.11,0.18,2.53,0.0,0.05,0.0,0.06,0.0,1.0,0.03,0.0,0.0,1.8,vlm_embed,21.024334,810.0,1,,14.13690138286137
1,loop_dynamic_slice_fusion_12,"(2592, 1, 1)","(128, 1, 1)",0,0,0.024288,4.96,0.0,83.75,610.18181818182,35.55,50.39,71.98,100.0,16.0,1024.0,17.0,661.16073781291,2.02,8.98,0.05,0.03,97.44,2.56,0.0,0.28,0.43,36.73,5.59,40.23,231.33,1.07,0.0,14.46,0.01,0.78,1.11,1.0,11.07,0.0,0.0,2.36,vlm_embed,20.481278,810.0,1,,13.771746932909652
5,loop_transpose_fusion_4,"(4096, 1, 1)","(128, 1, 1)",0,0,0.012992,8.68,0.0,79.16,575.00492610837,24.34,50.71,69.74,100.0,16.0,1024.0,17.0,656.26108374384,5.85,8.49,0.13,0.09,91.24,8.76,0.0,0.31,0.1,0.99,3.64,0.0,84.99,0.2,0.0,0.35,0.01,0.61,0.43,1.0,1.26,0.0,0.0,2.12,action,16.917384,1800.0,1,,3.312045173226808
1,loop_transpose_fusion_2,"(4096, 1, 1)","(128, 1, 1)",0,0,0.013824,8.32,0.0,74.91,545.12037037037,22.96,50.19,67.57,100.0,16.0,1024.0,17.0,623.15972222222,5.85,8.48,0.12,0.09,91.28,8.72,0.0,0.31,0.1,1.0,3.77,0.0,85.08,0.2,0.0,0.29,0.01,0.63,0.44,1.0,1.27,0.0,0.0,2.12,action,16.382289,1800.0,1,,4.725273297665524
5,input_reduce_fusion_8,"(10, 1, 1)","(1024, 1, 1)",8320,0,0.010432,3.49,0.0,22.21,160.94478527607,6.53,9.13,66.01,66.67,64.0,9344.0,17.0,175.89263803681,13.26,7.97,0.57,0.27,72.76,27.24,1.33,0.06,0.37,0.08,2.38,0.07,19.21,0.84,0.0,0.65,0.0,0.24,1.08,1.0,0.56,0.0,0.0,1.3,action,15.573281,1800.0,1,,3.0488998870838873
1,gemm_fusion_dot_96_0,"(1936, 1, 1)","(128, 1, 1)",0,24576,0.07155199999999999,38.49,38.49,64.24,467.86940966011,78.91,96.96,31.61,33.33,128.0,25600.0,17.0,2148.26520572451,0.0,3.77,0.39,0.26,74.23,25.77,1.94,0.01,0.31,0.13,0.12,0.07,5.99,1.78,0.0,1.05,0.0,0.03,0.52,1.0,0.48,0.0,0.0,1.25,vlm_prefill,12.743725,180.0,1,,2.4965651359328827
1,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nt,"(18, 4, 1)","(128, 1, 1)",49152,32768,0.012992,32.9,32.9,39.66,288.35467980296005,62.77,84.87,8.33,8.33,146.0,82944.0,17.0,1703.51231527094,0.0,0.97,0.11,0.11,89.48,10.52,1.1,0.14,0.0,0.0,0.52,0.05,2.2,1.93,0.0,0.14,0.0,0.12,0.0,1.0,0.13,0.0,0.0,2.12,vlm_embed,10.161276,810.0,1,,6.832509259795628
1,gemm_fusion_dot_97_0,"(242, 1, 1)","(128, 1, 1)",0,12288,0.047296,54.68,54.68,53.53,389.99729364005003,51.2,82.84,23.57,25.0,156.0,13312.0,17.0,1388.60284167794,33.76,2.82,0.2,0.16,84.22,15.78,1.9,0.05,0.05,0.09,0.26,0.01,7.13,3.41,0.0,0.98,0.0,0.06,0.23,1.0,0.41,0.0,0.0,2.42,vlm_prefill,8.570421,180.0,1,,1.6789921525195366
1,gemm_fusion_dot_112_0,"(16, 1, 16)","(128, 1, 1)",0,5120,0.00992,7.73,4.8,65.86,479.16129032258004,19.43,18.81,23.89,75.0,52.0,6144.0,17.0,527.44193548387,2.13,2.94,0.09,0.06,93.63,6.37,4.45,0.04,0.1,0.1,9.7,0.0,26.45,0.47,0.0,0.11,0.01,0.2,0.38,1.0,1.19,0.0,0.0,1.57,action,8.202748,1800.0,1,,2.365983538190498
1,gemm_fusion_dot_114_0,"(93, 1, 1)","(128, 1, 1)",0,32768,0.005536,8.85,6.49,14.84,107.16763005780001,21.11,82.42,9.26,25.0,52.0,33792.0,17.0,571.9248554913299,3.97,1.09,0.14,0.13,86.84,13.16,0.5,0.02,0.06,0.06,1.23,0.0,3.64,0.25,0.0,0.0,0.0,0.12,0.04,1.0,0.36,0.0,0.0,1.04,action,7.431465,1800.0,1,,2.1435162770621323
1,gemm_fusion_dot_94_0,"(8, 16, 1)","(128, 1, 1)",0,12288,0.007584,17.36,17.36,38.97,282.4641350211,31.87,81.7,12.61,25.0,150.0,13312.0,17.0,861.97046413502,7.27,1.54,0.19,0.17,83.25,16.75,0.9,0.02,0.1,0.33,0.75,0.06,2.86,0.96,0.0,0.31,0.0,0.11,0.13,1.0,0.31,0.0,0.0,1.38,vlm_embed,4.744099,810.0,1,,3.189963578086766
1,gemm_fusion_dot_95_0,"(4, 16, 1)","(128, 1, 1)",0,36864,0.008896,21.89,21.89,46.88,341.05035971223,27.4,78.45,8.3,16.67,162.0,37888.0,17.0,744.1582733812901,0.0,1.0,0.14,0.14,85.65,14.35,0.74,0.02,0.02,0.06,0.78,0.05,1.88,1.14,0.0,0.07,0.0,0.2,0.0,1.0,0.08,0.0,0.0,0.92,vlm_embed,4.256318,810.0,1,,2.8619764041085793
