batch_size,calls,mean_ms,p50_ms,p95_ms,p99_ms,mean_change_percent
1,800,135.5714284475,135.06684,138.44479520000002,138.93014794,0.04918494702366161
2,800,205.14711870625004,204.490511,208.04501464999998,208.56047725,-0.05858934122465742
3,800,257.81742552125,257.0837275,260.65616615,262.1909392,0.0052233574209692435
4,800,308.3885817325,307.76622999999995,310.9246538,311.91494045,0.03136258998914787
5,800,365.62143417500005,365.191515,368.1558095,369.92932056,-0.0015608652526477584
