batch_size,kernel_key,grid,block,static_shared,dynamic_shared,kernel_ms,sm_pct,tensor_pct,dram_pct,dram_gbps,l2_pct,l2_hit_pct,occupancy_pct,theoretical_occupancy_pct,registers_per_thread,shared_bytes_per_block,replay_passes,l2_gbps,l1_hit_pct,active_warps_per_scheduler,eligible_warps_per_scheduler,issued_warps_per_scheduler,no_eligible_pct,issue_active_pct,warp_cycles_barrier,warp_cycles_branch_resolving,warp_cycles_dispatch_stall,warp_cycles_drain,warp_cycles_imc_miss,warp_cycles_lg_throttle,warp_cycles_long_scoreboard,warp_cycles_math_pipe_throttle,warp_cycles_membar,warp_cycles_mio_throttle,warp_cycles_misc,warp_cycles_no_instruction,warp_cycles_not_selected,warp_cycles_selected,warp_cycles_short_scoreboard,warp_cycles_sleeping,warp_cycles_tex_throttle,warp_cycles_wait,stage,reference_total_ms,reference_count,samples,stage_rejected
1,input_concatenate_fusion_6,"(1024, 1, 1)","(128, 1, 1)",0,0,0.010688,6.83,0.0,76.28,555.4610778443101,26.68,58.45,88.31,100.0,19.0,1024.0,17.0,724.7904191616801,16.15,10.71,0.09,0.05,94.99,5.01,0.0,0.18,0.33,1.19,8.37,1.61,192.61,0.5,0.0,0.82,0.01,0.9,0.72,1.0,1.11,0.0,0.0,2.02,vlm_mixed,0.067264,10.0,1,
1,input_concatenate_fusion_7,"(2, 1, 1)","(128, 1, 1)",0,0,0.0027199999999999998,0.04,0.0,0.18,1.31764705882,0.87,93.43,8.03,100.0,16.0,1024.0,17.0,23.28235294118,66.13,0.99,0.02,0.02,98.14,1.86,0.0,0.23,0.0,0.57,23.36,0.0,23.0,0.0,0.0,0.0,0.0,3.22,0.0,1.0,0.81,0.0,0.0,1.52,vlm_mixed,0.017664,10.0,1,
1,input_reduce_fusion,"(24, 1, 1)","(1024, 1, 1)",33024,0,0.027167999999999998,7.31,0.0,73.52,535.1472320376901,17.6,2.63,66.38,66.67,60.0,34048.0,17.0,479.60424028269006,6.64,8.07,0.48,0.27,72.6,27.4,1.18,0.03,0.09,0.03,0.92,0.47,21.28,0.27,0.0,2.31,0.0,0.09,0.75,1.0,0.03,0.0,0.0,0.62,action,41.742616,1800.0,1,
1,input_reduce_fusion_1,"(128, 1, 1)","(192, 1, 1)",48,0,0.004992,8.03,0.0,34.14,246.51282051282,11.19,21.88,18.51,100.0,30.0,1072.0,17.0,304.32692307692,23.47,2.31,0.1,0.08,91.73,8.27,1.92,0.06,0.07,0.1,4.25,0.28,17.56,0.08,0.0,0.0,0.0,0.29,0.19,1.0,1.48,0.0,0.0,0.99,vlm_embed,3.036824,810.0,1,
1,input_reduce_fusion_10,"(128, 3, 1)","(192, 1, 1)",144,0,0.0060479999999999996,16.24,0.0,41.52,301.43915343915006,12.05,9.75,49.2,100.0,22.0,1168.0,17.0,327.08465608465997,1.48,5.7,0.21,0.15,85.47,14.53,5.22,0.09,0.02,0.16,4.96,0.13,23.4,0.17,0.0,0.09,0.01,0.77,0.43,1.0,2.2,0.0,0.0,1.13,vlm_mixed,0.042048,10.0,1,
1,input_reduce_fusion_2,"(128, 1, 1)","(192, 1, 1)",48,0,0.003856,8.745000000000001,0.0,21.48,155.17617866005,6.805,15.955,18.455,100.0,19.0,1072.0,17.0,184.28136200717,1.1549999999999998,2.2350000000000003,0.10500000000000001,0.09,90.975,9.025,1.945,0.08,0.035,0.15,5.835,0.05,12.145,0.055,0.0,0.0,0.01,0.39,0.15500000000000003,1.0,2.025,0.0,0.0,1.005,vlm_embed,1.670451,810.0,2,
1,input_reduce_fusion_7,"(1, 1, 1)","(64, 1, 1)",16,0,0.003008,0.02,0.0,0.24,1.74468085106,0.83,91.01,3.95,66.67,16.0,1040.0,17.0,22.59574468085,0.0,0.93,0.04,0.04,96.14,3.86,0.3,0.15,0.01,0.19,10.41,0.0,6.92,0.0,0.0,0.0,0.02,1.25,0.0,1.0,2.2,0.0,0.0,1.63,action,0.148225,100.0,1,
1,input_reduce_fusion_9,"(8, 1, 1)","(1024, 1, 1)",16512,0,0.009248,3.74,0.0,32.885,238.87852907708,9.145,6.215,65.8,66.67,39.0,17536.0,17.0,248.34655327304503,10.655000000000001,7.975,1.0750000000000002,0.45,55.43,44.57,0.8049999999999999,0.05,0.155,0.06,1.02,0.55,9.23,0.665,0.0,2.065,0.0,0.17,1.435,1.0,0.05,0.0,0.0,0.66,action,1.729453,200.0,2,
1,input_slice_fusion,"(3, 1, 1)","(128, 1, 1)",0,0,0.0025599999999999998,0.05,0.0,0.29,2.1,0.96,91.04,7.74,100.0,17.0,1024.0,17.0,25.962500000000002,53.25,1.0,0.03,0.03,97.49,2.51,0.0,0.21,0.06,0.45,18.43,0.0,13.75,0.0,0.0,0.0,0.0,2.35,0.0,1.0,0.86,0.0,0.0,2.26,action,0.163584,100.0,1,
1,input_transpose_fusion,"(1984, 1, 1)","(128, 1, 1)",2112,0,0.013727999999999999,34.82,0.0,76.71,557.5664335664301,23.83,54.66,72.88,100.0,28.0,3136.0,17.0,646.3356643356601,3.04,8.71,0.34,0.16,83.69,16.31,5.28,0.17,0.12,0.42,1.75,0.72,35.67,0.59,0.0,2.58,0.0,0.19,1.13,1.0,0.85,0.0,0.0,2.24,vlm_prefill,1.45345,180.0,1,
