batch_size,family,grid,block,kernel_ms,sm_pct,tensor_pct,dram_pct,dram_gbps,l2_pct,l2_hit_pct,occupancy_pct,theoretical_occupancy_pct,registers_per_thread,shared_bytes_per_block,replay_passes,sample_count
1,cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8,"(64, 2, 1)","(128, 1, 1)",0.6043306666666667,74.49833333333333,74.49833333333333,36.434999999999995,265.5785419999217,63.67666666666667,87.76666666666667,8.33,8.33,224.0,82944.0,11.0,6
5,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn,"(8, 38, 3)","(256, 1, 1)",2.304304,94.03999999999999,94.03999999999999,33.185,241.91897601817004,62.66,89.335,16.63,16.67,218.0,74752.0,11.0,2
5,cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_nn_align8,"(304, 8, 1)","(256, 1, 1)",2.392488,91.505,91.505,36.599999999999994,266.7805481803375,61.335,89.8375,16.66,16.67,215.0,74752.0,11.0,4
