batch_size,id,kernel,kernel_key,own_hlo_stage,grid,block,static_shared,dynamic_shared,kernel_ms,sm_pct,tensor_pct,dram_pct,dram_gbps,l2_pct,l2_hit_pct,occupancy_pct,theoretical_occupancy_pct,registers_per_thread,shared_bytes_per_block,replay_passes,l2_gbps,l1_hit_pct,active_warps_per_scheduler,eligible_warps_per_scheduler,issued_warps_per_scheduler,no_eligible_pct,issue_active_pct,warp_cycles_barrier,warp_cycles_branch_resolving,warp_cycles_dispatch_stall,warp_cycles_drain,warp_cycles_imc_miss,warp_cycles_lg_throttle,warp_cycles_long_scoreboard,warp_cycles_math_pipe_throttle,warp_cycles_membar,warp_cycles_mio_throttle,warp_cycles_misc,warp_cycles_no_instruction,warp_cycles_not_selected,warp_cycles_selected,warp_cycles_short_scoreboard,warp_cycles_sleeping,warp_cycles_tex_throttle,warp_cycles_wait,stage,reference_total_ms,reference_count,reference_stage,stage_match_conflict
5,118,loop_convert_fusion_20,loop_convert_fusion_20,action,"(400, 1, 1)","(128, 1, 1)",0,0,0.003904,6.01,0.0,12.33,88.75409836066001,7.73,58.22,34.68,100.0,18,1024,17,207.18852459016003,19.48,4.08,0.15,0.09,91.14,8.86,0.0,0.14,0.44,0.37,13.88,0.67,27.67,0.49,0.0,0.08,0.01,0.97,0.66,1.0,0.64,0,0,1.34,action,5.480736,1800.0,action,False
5,119,loop_add_fusion_2,loop_add_fusion_2,vlm_embed,"(1, 1, 1)","(1, 1, 1)",0,0,0.002624,0.0,0.0,0.17,1.2195121951199999,0.84,93.57,2.08,33.33,16,1024,17,22.768292682930003,50.0,0.97,0.01,0.01,98.9,1.1,0.0,0.47,0.0,1.24,48.82,0.0,30.12,0.0,0.0,0.0,0.0,5.82,0.0,1.0,0.0,0,0,1.18,"action,vlm_embed,vlm_prefill",4.840761,2790.0,"action,vlm_embed,vlm_prefill",False
5,120,loop_dynamic_slice_fusion_21,loop_dynamic_slice_fusion_21,action,"(6144, 1, 1)","(128, 1, 1)",0,0,0.038176,5.43,0.0,86.98,633.84744341995,39.45,50.06,83.18,100.0,16,1024,17,665.08382229673,3.02,10.14,0.04,0.03,97.16,2.84,0.0,0.35,0.18,30.93,2.92,12.62,278.6,0.33,0.0,14.6,0.0,0.59,0.48,1.0,14.33,0,0,2.22,action,62.133355,1800.0,action,False
5,121,loop_slice_fusion_1,loop_slice_fusion_1,action,"(120, 1, 1)","(128, 1, 1)",0,0,0.003104,1.63,0.0,1.83,13.072164948450002,1.96,74.56,11.51,100.0,16,1024,17,52.14432989691001,22.21,1.38,0.04,0.03,96.64,3.36,0.0,0.15,0.04,0.36,16.48,0.0,19.42,0.03,0.0,0.0,0.02,1.04,0.05,1.0,0.42,0,0,2.17,action,3.205588,1800.0,action,False
5,122,gemm_fusion_dot_120_0,gemm_fusion_dot_120_0,action,"(48, 1, 1)","(128, 1, 1)",0,61440,0.014431999999999999,7.19,5.02,69.09,501.56097560976,21.49,10.14,8.32,8.33,124,62464,17,486.89356984479,0.0,1.01,0.09,0.09,90.79,9.21,1.2,0.02,0.04,0.01,0.78,0.08,6.1,0.25,0.0,0.13,0.01,0.21,0.0,1.0,0.21,0,0,0.81,,,,,False
5,123,fusion_533,fusion_533,action,"(200, 1, 1)","(64, 1, 1)",0,8,0.003872,4.85,0.0,4.87,35.14049586777,9.63,86.62,9.23,66.67,24,1032,17,259.0,15.4,1.16,0.09,0.09,91.06,8.94,0.24,0.03,0.04,0.11,3.06,0.0,6.25,0.02,0.0,0.02,0.0,0.26,0.05,1.0,0.7,0,0,1.05,action,0.285185,100.0,action,False
5,124,gemm_fusion_dot_122_0,gemm_fusion_dot_122_0,action,"(8, 1, 1)","(128, 1, 1)",0,32768,0.0054719999999999994,1.81,1.1,4.65,33.77777777778,4.23,78.08,8.31,25.0,94,33792,17,114.23391812865,0.0,0.99,0.18,0.18,82.08,17.92,0.39,0.01,0.03,0.02,1.19,0.03,0.83,0.0,0.0,0.04,0.0,0.38,0.0,1.0,0.31,0,0,1.35,action,0.467717,100.0,action,False
5,125,input_slice_fusion,input_slice_fusion,action,"(13, 1, 1)","(128, 1, 1)",0,0,0.002784,0.25,0.0,0.66,4.7816091954,1.14,83.69,8.15,100.0,17,1024,17,30.804597701150005,53.69,1.0,0.03,0.03,97.32,2.68,0.0,0.18,0.06,0.46,17.96,0.0,12.68,0.0,0.0,0.0,0.0,2.15,0.0,1.0,0.84,0,0,2.25,action,0.166018,100.0,action,False
5,126,loop_compare_fusion_3,loop_compare_fusion_3,action,"(1, 1, 1)","(1, 1, 1)",0,0,0.002688,0.0,0.0,0.18,1.2857142857100001,0.84,93.04,2.08,33.33,16,1024,17,22.25,0.0,0.93,0.02,0.02,98.33,1.67,0.0,0.29,0.0,0.75,29.71,0.0,19.39,0.0,0.0,0.0,0.0,3.54,0.0,1.0,0.0,0,0,0.75,action,0.15965000000000001,110.0,action,False
5,127,input_concatenate_fusion,input_concatenate_fusion,vlm_prefill,"(1, 1, 1)","(2, 1, 1)",0,0,0.0024,0.01,0.0,0.23,1.65333333333,1.04,93.2,2.08,33.33,16,1024,17,27.653333333330004,0.0,0.98,0.05,0.05,95.11,4.89,0.0,0.09,0.05,0.25,9.56,0.0,6.36,0.0,0.0,0.0,0.0,1.12,0.0,1.0,0.0,0,0,1.99,vlm_prefill,0.015552,10.0,vlm_prefill,False
